   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
  152     26.00      0.00     1.708     119.892990      -1.611730      12.000000      5.00      5.00     2.051    85.434    -4.944   -150.00      0.00
  153     25.00      0.00     1.421     119.891418      -1.566530      12.000000      5.00      5.00   177.608    89.916    11.571   -145.00      0.00
  154     24.00      0.00     1.268     119.889862      -1.521340      12.000000      5.00      5.00   170.133    87.439    17.325   -140.00      0.00
  155     24.00      0.00     1.302     119.888290      -1.476150      12.000000      5.00      5.00   161.415    89.930    18.247   -135.00      0.00
  156     23.00      2.00     1.536     119.886719      -1.430960      12.000000      5.00      5.00   334.445    85.952   -12.585   -130.00      0.00
  157     22.00      5.00     1.811     119.885162      -1.385770      12.000000      5.00      5.00   332.292    88.336   -11.641   -125.00      0.00
  158     22.00      5.00     2.070     119.883591      -1.340580      12.000000      5.00      5.00   152.416    87.295    14.236   -120.00      0.00
  159     21.00      5.00     2.248     119.882019      -1.295390      12.000000      5.00      5.00   154.254    85.158    19.138   -115.00      0.00
  160     19.00      4.00     2.232     119.880463      -1.250200      12.000000      5.00      5.00   158.419    82.750    23.743   -110.00      0.00
  161     19.00      4.00     2.149     119.878891      -1.205010      12.000000      5.00      5.00   163.896    82.339    28.917   -105.00      0.00
  162     18.00      1.00     2.076     119.877319      -1.159820      12.000000      5.00      5.00   171.055    81.800    33.777   -100.00      0.00
  163     18.00      1.00     2.033     119.875763      -1.114630      12.000000      5.00      5.00   173.697    86.263    34.036    -95.00      0.00
  164     16.00      2.00     2.093     119.874191      -1.069440      12.000000      5.00      5.00   351.225    82.941   -31.173    -90.00      0.00
  165     15.00      5.00     2.291     119.872620      -1.024250      12.000000      5.00      5.00   344.747    69.727   -28.165    -85.00      0.00
  166     14.00      8.00     2.500     119.871063      -0.979050      12.000000      5.00      5.00   339.400    61.600   -27.037    -80.00      0.00
  167     13.00      8.00     2.766     119.869492      -0.933860      12.000000      5.00      5.00   334.244    56.281   -28.120    -75.00      0.00
  168     12.00      9.00     3.046     119.867928      -0.888670      12.000000      5.00      5.00   331.878    56.884   -26.539    -70.00      0.00
  169     12.00      9.00     3.202     119.866364      -0.843480      12.000000      5.00      5.00   333.961    64.392   -18.307    -65.00      0.00
  170     11.00      8.00     3.327     119.864792      -0.798290      12.000000      5.00      5.00   337.350    80.722    -2.646    -60.00      0.00
  171     10.00      9.00     3.473     119.863228      -0.753100      12.000000      5.00      5.00   338.576    89.807     5.064    -55.00      0.00
  172      9.00      9.00     3.496     119.861656      -0.707910      12.000000      5.00      5.00   160.173    87.460    -7.508    -50.00      0.00
  173      8.00      9.00     3.398     119.860092      -0.662720      12.000000      5.00      5.00   162.137    89.102    -7.479    -45.00      0.00
  174      8.00     10.00     3.191     119.858528      -0.617530      12.000000      5.00      5.00   345.557    86.297     8.818    -40.00      0.00
  175      7.00      9.00     3.053     119.856956      -0.572340      12.000000      5.00      5.00   349.592    79.535     7.273    -35.00      0.00
  176      6.00      8.00     3.024     119.855400      -0.527150      12.000000      5.00      5.00   353.560    70.270     3.772    -30.00      0.00
  177      5.00      9.00     3.006     119.853828      -0.481950      12.000000      5.00      5.00   355.777    65.011    -1.209    -25.00      0.00
  178      4.00      9.00     3.044     119.852257      -0.436760      12.000000      5.00      5.00   357.225    63.980    -4.463    -20.00      0.00
  179      3.00      9.00     3.104     119.850700      -0.391570      12.000000      5.00      5.00   358.182    65.920    -6.340    -15.00      0.00
  180      3.00      9.00     3.174     119.849129      -0.346380      12.000000      5.00      5.00   358.694    68.478    -7.939    -10.00      0.00
  181      2.00     10.00     3.245     119.847572      -0.301190      12.000000      5.00      5.00   358.725    70.096   -10.629     -5.00      0.00
  182      2.00     10.00     3.168     119.846001      -0.256000      12.000000      5.00      5.00   359.558    71.507   -11.994      0.00      0.00
  183      2.00      8.00     2.935     119.844429      -0.210810      12.000000      5.00      5.00     0.946    72.897   -12.705      5.00      0.00
  184      2.00      7.00     2.560     119.842873      -0.165620      12.000000      5.00      5.00     2.635    74.312   -13.443     10.00      0.00
  185      3.00      4.00     2.058     119.841301      -0.120430      12.000000      5.00      5.00     2.882    74.369   -13.992     15.00      0.00
  186      4.00      2.00     1.491     119.839737      -0.075240      12.000000      5.00      5.00     0.143    69.598   -13.036     20.00      0.00
  187      5.00      0.00     1.067     119.838173      -0.030050      12.000000      5.00      5.00   347.609    38.524     5.847     25.00      0.00
  188      6.00      0.00     1.017     119.836601       0.015150      12.000000      5.00      5.00   332.509    27.288     4.165     30.00      0.00
  189      7.00      0.00     1.031     119.835037       0.060340      12.000000      5.00      5.00   327.864    23.755     2.866     35.00      0.00
  190      7.00      0.00     0.943     119.833473       0.105530      12.000000      5.00      5.00   -29.899    29.002    16.667     40.00      0.00
  191     10.00      0.00     0.803     119.831909       0.150720      12.000000      5.00      5.00   199.745    64.645   129.175     45.00      0.00
  192      9.00      0.00     0.506     119.830338       0.195910      12.000000      5.00      5.00   188.520    59.468   129.396     50.00      0.00
  193     32.00      0.00     0.811     119.887871      -1.928620       7.332100      5.00      5.00   170.053    81.746     3.312   -185.00      5.00
  194     31.00      0.00     1.519     119.886299      -1.883430       7.332100      5.00      5.00   171.559    82.175     6.308   -180.00      5.00
  195     30.00      6.00     2.007     119.884743      -1.838240       7.332100      5.00      5.00   174.201    83.989     6.467   -175.00      5.00
  196     30.00      7.00     2.294     119.883171      -1.793050       7.332100      5.00      5.00   176.751    86.508     4.995   -170.00      5.00
  197     29.00      7.00     2.441     119.881599      -1.747860       7.332100      5.00      5.00   179.595    89.357     2.249   -165.00      5.00
  198     28.00      6.00     2.404     119.880028      -1.702670       7.332100      5.00      5.00     2.094    87.968    -1.380   -160.00      5.00
  199     28.00      5.00     2.175     119.878471      -1.657480       7.332100      5.00      5.00     3.413    86.822    -3.549   -155.00      5.00
  200     27.00      3.00     1.861     119.876900      -1.612290       7.332100      5.00      5.00     2.517    88.033   -10.215   -150.00      5.00
  201     25.00      0.00     1.587     119.875328      -1.567100       7.332100      5.00      5.00   358.003    88.121   -17.126   -145.00      5.00
  202     24.00      0.00     1.449     119.873772      -1.521910       7.332100      5.00      5.00   349.931    88.132   -20.631   -140.00      5.00
  203     23.00      0.00     1.532     119.872200      -1.476720       7.332100      5.00      5.00   340.155    87.515   -18.319   -135.00      5.00
  204     23.00      4.00     1.792     119.870628      -1.431530       7.332100      5.00      5.00   334.067    87.704   -13.468   -130.00      5.00
  205     23.00      6.00     2.084     119.869072      -1.386340       7.332100      5.00      5.00   331.908    89.838   -12.030   -125.00      5.00
  206     22.00      6.00     2.325     119.867500      -1.341150       7.332100      5.00      5.00   151.982    87.671    15.674   -120.00      5.00
  207     21.00      7.00     2.428     119.865929      -1.295960       7.332100      5.00      5.00   154.567    83.320    20.295   -115.00      5.00
  208     20.00      6.00     2.400     119.864372      -1.250760       7.332100      5.00      5.00   158.080    82.945    24.356   -110.00      5.00
  209     19.00      6.00     2.290     119.862801      -1.205570       7.332100      5.00      5.00   162.845    82.969    27.808   -105.00      5.00
  210     18.00      5.00     2.222     119.861229      -1.160380       7.332100      5.00      5.00   167.227    85.126    30.457   -100.00      5.00
  211     17.00      4.00     2.225     119.859673      -1.115190       7.332100      5.00      5.00   349.066    89.195   -31.583    -95.00      5.00
  212     16.00      5.00     2.297     119.858101      -1.070000       7.332100      5.00      5.00   347.084    77.145   -27.823    -90.00      5.00
  213     15.00      8.00     2.522     119.856537      -1.024810       7.332100      5.00      5.00   342.363    65.594   -26.053    -85.00      5.00
  214     14.00      9.00     2.809     119.854973      -0.979620       7.332100      5.00      5.00   337.513    58.950   -27.454    -80.00      5.00
  215     14.00      9.00     3.100     119.853401      -0.934430       7.332100      5.00      5.00   333.681    55.770   -28.305    -75.00      5.00
  216     13.00     10.00     3.381     119.851837      -0.889240       7.332100      5.00      5.00   332.594    57.000   -25.916    -70.00      5.00
  217     12.00     10.00     3.516     119.850273      -0.844050       7.332100      5.00      5.00   335.607    66.114   -16.295    -65.00      5.00
  218     11.00     10.00     3.647     119.848701      -0.798860       7.332100      5.00      5.00   338.046    79.238    -4.620    -60.00      5.00
  219     10.00      9.00     3.765     119.847137      -0.753670       7.332100      5.00      5.00   339.146    88.015     3.771    -55.00      5.00
  220      9.00     10.00     3.782     119.845612      -0.708470       7.332100      5.00      5.00   340.392    89.669     7.138    -50.00      5.00
  221      8.00     10.00     3.657     119.844040      -0.663280       7.332100      5.00      5.00   342.351    88.360     7.645    -45.00      5.00
  222      8.00     10.00     3.484     119.842468      -0.618090       7.332100      5.00      5.00   345.292    83.545     6.627    -40.00      5.00
  223      7.00     10.00     3.349     119.840897      -0.572900       7.332100      5.00      5.00   349.083    75.356     2.831    -35.00      5.00
  224      6.00     10.00     3.289     119.839333      -0.527710       7.332100      5.00      5.00   352.299    66.945    -2.043    -30.00      5.00
  225      5.00      9.00     3.331     119.837761      -0.482520       7.332100      5.00      5.00   354.168    62.773    -5.392    -25.00      5.00
  226      5.00      9.00     3.350     119.836189      -0.437330       7.332100      5.00      5.00   355.321    63.006    -8.193    -20.00      5.00
  227      4.00      9.00     3.382     119.834618      -0.392140       7.332100      5.00      5.00   356.165    65.325   -10.650    -15.00      5.00
