   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
  122     16.00      6.00     3.119     119.880882      -0.797730      16.667900      5.00      5.00   351.309    74.513   -19.746    -60.00     -5.00      0.50
  123     14.00      8.00     3.146     119.879311      -0.752540      16.667900      5.00      5.00   349.396    72.064   -17.534    -55.00     -5.00      0.50
  124     14.00      5.00     3.059     119.877747      -0.707340      16.667900      5.00      5.00   346.303    69.747   -14.185    -50.00     -5.00      0.50
  125     12.00      6.00     3.008     119.876183      -0.662150      16.667900      5.00      5.00   343.110    69.720    -9.703    -45.00     -5.00      0.50
  126     11.00      5.00     3.031     119.874619      -0.616960      16.667900      5.00      5.00   342.015    75.629    -3.191    -40.00     -5.00      0.50
  127      9.00      5.00     3.078     119.873047      -0.571770      16.667900      5.00      5.00   341.873    78.398     0.673    -35.00     -5.00      0.50
  128      9.00      4.00     2.890     119.871483      -0.526580      16.667900      5.00      5.00   343.987    81.774     4.775    -30.00     -5.00      0.50
  129      7.00      4.00     2.805     119.869919      -0.481390      16.667900      5.00      5.00   348.603    79.780     7.527    -25.00     -5.00      0.50
  130      5.00      5.00     2.933     119.868347      -0.436200      16.667900      5.00      5.00   353.947    70.345     5.317    -20.00     -5.00      0.50
  131      4.00      7.00     3.166     119.866791      -0.391010      16.667900      5.00      5.00   357.225    67.742     2.409    -15.00     -5.00      0.50
  132      3.00      7.00     3.572     119.865219      -0.345820      16.667900      5.00      5.00   358.502    69.254     2.077    -10.00     -5.00      0.50
  133      2.00      9.00     3.880     119.863647      -0.300630      16.667900      5.00      5.00   358.114    68.785    -1.197     -5.00     -5.00      0.50
  134      2.00      9.00     3.933     119.862091      -0.255430      16.667900      5.00      5.00   358.278    68.062    -4.560      0.00     -5.00      0.50
  135      2.00      7.00     3.606     119.860519      -0.210240      16.667900      5.00      5.00   358.649    68.474    -8.026      5.00     -5.00      0.50
  136      3.00      6.00     2.807     119.858948      -0.165050      16.667900      5.00      5.00     1.184    70.391    -8.085     10.00     -5.00      0.50
  137      4.00      2.00     1.917     119.857384      -0.119860      16.667900      5.00      5.00   359.172    67.424    -8.559     15.00     -5.00      0.50
  138      5.00      0.00     1.053     119.855812      -0.074670      16.667900      5.00      5.00     8.259    33.876    35.996     20.00     -5.00      0.50
  139      7.00      0.00     1.057     119.854240      -0.029480      16.667900      5.00      5.00    33.438    21.222    57.838     25.00     -5.00      0.50
  140      8.00      0.00     1.038     119.852669       0.015710      16.667900      5.00      5.00    37.420    21.099    57.796     30.00     -5.00      0.50
  141     10.00      0.00     0.984     119.851097       0.060900      16.667900      5.00      5.00   206.658    47.423   131.915     35.00     -5.00      0.50
  142     10.00      0.00     0.960     119.849533       0.106090      16.667900      5.00      5.00   324.217    70.777    34.866     40.00     -5.00      0.50
  143     11.00      0.00     1.103     119.847961       0.151280      16.667900      5.00      5.00   138.803    86.654   -23.004     45.00     -5.00      0.50
  144     12.00      0.00     0.894     119.846390       0.196470      16.667900      5.00      5.00   136.904    76.980   -33.938     50.00     -5.00      0.50
  145      1.00      0.00     0.000     119.903961      -1.928060      12.000000      5.00      5.00   180.000    45.000    90.000   -185.00      0.00      0.50
  146      1.00      0.00     0.000     119.902397      -1.882870      12.000000      5.00      5.00   180.000    45.000    90.000   -180.00      0.00      0.50
  147      1.00      0.00     0.000     119.900833      -1.837680      12.000000      5.00      5.00   180.000    45.000    90.000   -175.00      0.00      0.50
  148      1.00      0.00     0.000     119.899261      -1.792490      12.000000      5.00      5.00   180.000    45.000    90.000   -170.00      0.00      0.50
  149      1.00      0.00     0.000     119.897690      -1.747300      12.000000      5.00      5.00   180.000    45.000    90.000   -165.00      0.00      0.50
  150     40.00      0.00     0.062     119.896133      -1.702110      12.000000      5.00      5.00   323.350    83.012   -78.676   -160.00      0.00      0.50
  151     39.00      0.00     0.177     119.894562      -1.656920      12.000000      5.00      5.00    65.750    27.882  -132.147   -155.00      0.00      0.50
  152     38.00      0.00     0.311     119.892990      -1.611730      12.000000      5.00      5.00   119.180    33.498   -56.900   -150.00      0.00      0.50
  153     37.00      0.00     0.382     119.891418      -1.566530      12.000000      5.00      5.00   134.322    40.046   -50.146   -145.00      0.00      0.50
  154     35.00      0.00     0.578     119.889862      -1.521340      12.000000      5.00      5.00   340.497    67.581   -29.712   -140.00      0.00      0.50
  155     34.00      0.00     0.898     119.888290      -1.476150      12.000000      5.00      5.00   354.693    73.844   -24.139   -135.00      0.00      0.50
  156     33.00      0.00     1.294     119.886719      -1.430960      12.000000      5.00      5.00     8.949    82.219   -20.503   -130.00      0.00      0.50
  157     32.00      0.00     1.697     119.885162      -1.385770      12.000000      5.00      5.00   197.117    89.377    24.593   -125.00      0.00      0.50
  158     31.00      0.00     1.900     119.883591      -1.340580      12.000000      5.00      5.00   200.486    83.002    31.128   -120.00      0.00      0.50
  159     29.00      0.00     1.871     119.882019      -1.295390      12.000000      5.00      5.00   197.833    82.374    30.444   -115.00      0.00      0.50
  160     28.00      0.00     1.673     119.880463      -1.250200      12.000000      5.00      5.00   189.758    88.183    19.495   -110.00      0.00      0.50
  161     27.00      0.00     1.465     119.878891      -1.205010      12.000000      5.00      5.00   359.065    83.563    -7.538   -105.00      0.00      0.50
  162     25.00      0.00     1.504     119.877319      -1.159820      12.000000      5.00      5.00   347.311    82.230     2.002   -100.00      0.00      0.50
  163     24.00      3.00     1.942     119.875763      -1.114630      12.000000      5.00      5.00   339.259    87.919     9.035    -95.00      0.00      0.50
  164     23.00      5.00     2.583     119.874191      -1.069440      12.000000      5.00      5.00   155.891    85.015    -5.954    -90.00      0.00      0.50
  165     22.00      7.00     2.980     119.872620      -1.024250      12.000000      5.00      5.00   158.193    84.446    -1.629    -85.00      0.00      0.50
  166     21.00      7.00     3.079     119.871063      -0.979050      12.000000      5.00      5.00   162.514    88.395     5.167    -80.00      0.00      0.50
  167     19.00      7.00     3.176     119.869492      -0.933860      12.000000      5.00      5.00   347.541    87.103   -12.385    -75.00      0.00      0.50
  168     18.00      7.00     3.353     119.867928      -0.888670      12.000000      5.00      5.00   350.985    80.538   -19.036    -70.00      0.00      0.50
  169     17.00      7.00     3.490     119.866364      -0.843480      12.000000      5.00      5.00   352.806    75.851   -18.162    -65.00      0.00      0.50
  170     15.00      8.00     3.732     119.864792      -0.798290      12.000000      5.00      5.00   350.269    71.911   -18.703    -60.00      0.00      0.50
  171     15.00      9.00     3.752     119.863228      -0.753100      12.000000      5.00      5.00   347.378    69.257   -16.702    -55.00      0.00      0.50
  172     14.00      9.00     3.748     119.861656      -0.707910      12.000000      5.00      5.00   344.436    68.891   -13.682    -50.00      0.00      0.50
  173     12.00      8.00     3.754     119.860092      -0.662720      12.000000      5.00      5.00   341.974    70.385   -11.139    -45.00      0.00      0.50
  174     11.00      7.00     3.695     119.858528      -0.617530      12.000000      5.00      5.00   341.014    74.587    -6.378    -40.00      0.00      0.50
  175      9.00      8.00     3.601     119.856956      -0.572340      12.000000      5.00      5.00   341.454    76.709    -3.705    -35.00      0.00      0.50
  176      8.00      8.00     3.429     119.855400      -0.527150      12.000000      5.00      5.00   342.682    74.495    -5.707    -30.00      0.00      0.50
  177      7.00      8.00     3.318     119.853828      -0.481950      12.000000      5.00      5.00   345.996    71.402    -5.130    -25.00      0.00      0.50
  178      6.00      8.00     3.428     119.852257      -0.436760      12.000000      5.00      5.00   349.845    67.375    -5.569    -20.00      0.00      0.50
  179      4.00      8.00     3.752     119.850700      -0.391570      12.000000      5.00      5.00   353.620    66.072    -5.355    -15.00      0.00      0.50
  180      3.00      8.00     4.091     119.849129      -0.346380      12.000000      5.00      5.00   355.550    68.309    -5.670    -10.00      0.00      0.50
  181      1.00     10.00     4.604     119.847572      -0.301190      12.000000      5.00      5.00   354.491    66.470   -10.898     -5.00      0.00      0.50
  182      1.00     11.00     4.758     119.846001      -0.256000      12.000000      5.00      5.00   354.114    64.729   -14.018      0.00      0.00      0.50
  183      2.00     10.00     4.383     119.844429      -0.210810      12.000000      5.00      5.00   353.972    63.576   -16.485      5.00      0.00      0.50
  184      3.00      7.00     3.477     119.842873      -0.165620      12.000000      5.00      5.00   355.289    64.736   -16.978     10.00      0.00      0.50
  185      4.00      4.00     2.348     119.841301      -0.120430      12.000000      5.00      5.00   354.154    61.749   -15.106     15.00      0.00      0.50
  186      5.00      0.00     1.501     119.839737      -0.075240      12.000000      5.00      5.00   350.316    44.047    -1.102     20.00      0.00      0.50
  187      6.00      0.00     1.385     119.838173      -0.030050      12.000000      5.00      5.00     2.076    21.346    15.052     25.00      0.00      0.50
