   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
   96     119.830338       0.195910      20.000000     0.733   137.547    81.748   -27.390   231.800    62.917  -170.723     50.00      0.00    0
   97     119.887871      -1.928620      15.332100     0.221    89.577    86.733   -64.574   186.413    25.621  -172.426   -185.00      5.00    0
   98     119.886299      -1.883430      15.332100     0.294   278.115    82.694    46.236   180.552    44.248   169.499   -180.00      5.00    0
   99     119.884743      -1.838240      15.332100     0.351   289.991    56.612   -12.505    26.950    79.584  -145.977   -175.00      5.00    0
  100     119.883171      -1.793050      15.332100     0.642    43.389    55.055  -145.580   291.959    62.397   -40.267   -170.00      5.00    1
  101     119.881599      -1.747860      15.332100     0.813    50.403    59.771  -141.037   298.250    57.091   -36.847   -165.00      5.00    1
  102     119.880028      -1.702670      15.332100     0.965    56.838    68.969  -132.941   305.749    46.899   -29.440   -160.00      5.00    1
  103     119.878471      -1.657480      15.332100     1.061   320.968    42.904   -19.121    65.217    77.115  -131.287   -155.00      5.00    0
  104     119.876900      -1.612290      15.332100     1.092   338.711    48.075   -10.407    75.707    82.276  -137.602   -150.00      5.00    0
  105     119.875328      -1.567100      15.332100     1.078   354.852    66.041     0.729   264.555    89.333   156.040   -145.00      5.00    0
  106     119.873772      -1.521910      15.332100     1.237   270.149    81.236   163.697     2.701    73.893     9.125   -140.00      5.00    0
  107     119.872200      -1.476720      15.332100     1.450   272.946    72.638   161.387     8.685    72.264    18.258   -135.00      5.00    0
  108     119.870628      -1.431530      15.332100     1.521   276.342    73.062   164.332    11.014    75.028    17.553   -130.00      5.00    0
  109     119.869072      -1.386340      15.332100     1.401   277.502    74.266   168.025    10.794    78.480    16.066   -125.00      5.00    0
  110     119.867500      -1.341150      15.332100     1.117   274.340    80.842   173.953     5.306    84.030     9.208   -120.00      5.00    0
  111     119.865929      -1.295960      15.332100     0.942   357.016    77.741    20.701   262.429    69.792   166.923   -115.00      5.00    0
  112     119.864372      -1.250760      15.332100     1.179   160.910    89.198   -18.067   251.172    71.934  -179.157   -110.00      5.00    0
