   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
  114     2.003     119.887413      -1.081250      16.667900      5.00      5.00   355.406    73.714     6.320   -100.00     -5.00    0
  115     2.112     119.885849      -1.036060      16.667900      5.00      5.00   354.412    78.228    -4.775    -95.00     -5.00    0
  116     2.268     119.884277      -0.990870      16.667900      5.00      5.00   353.827    81.246   -16.904    -90.00     -5.00    0
  117     2.425     119.882713      -0.945680      16.667900      5.00      5.00   353.200    80.183   -23.115    -85.00     -5.00    0
  118     2.473     119.881149      -0.900490      16.667900      5.00      5.00   351.903    77.817   -25.313    -80.00     -5.00    0
  119     2.492     119.879578      -0.855300      16.667900      5.00      5.00   349.974    75.688   -26.049    -75.00     -5.00    0
  120     2.454     119.878014      -0.810110      16.667900      5.00      5.00   347.037    72.719   -24.219    -70.00     -5.00    0
  121     2.375     119.876450      -0.764920      16.667900      5.00      5.00   344.734    69.619   -21.067    -65.00     -5.00    0
  122     2.242     119.874878      -0.719730      16.667900      5.00      5.00   343.971    67.207   -15.264    -60.00     -5.00    0
  123     2.133     119.873306      -0.674540      16.667900      5.00      5.00   344.924    68.602    -8.049    -55.00     -5.00    0
  124     2.170     119.871750      -0.629340      16.667900      5.00      5.00   345.413    71.260    -1.803    -50.00     -5.00    0
  125     2.256     119.870178      -0.584150      16.667900      5.00      5.00   344.869    73.135     3.521    -45.00     -5.00    0
  126     2.292     119.868622      -0.538960      16.667900      5.00      5.00   345.768    77.194    10.599    -40.00     -5.00    0
  127     2.312     119.867050      -0.493770      16.667900      5.00      5.00   347.651    75.440    11.588    -35.00     -5.00    0
  128     2.350     119.865479      -0.448580      16.667900      5.00      5.00   351.288    69.858     9.861    -30.00     -5.00    0
  129     2.427     119.863922      -0.403390      16.667900      5.00      5.00   355.806    64.043     7.967    -25.00     -5.00    0
  130     2.555     119.862350      -0.358200      16.667900      5.00      5.00   358.492    58.991     3.905    -20.00     -5.00    0
  131     2.733     119.860786      -0.313010      16.667900      5.00      5.00   359.776    55.891     1.677    -15.00     -5.00    0
  132     2.865     119.859222      -0.267820      16.667900      5.00      5.00   359.652    54.692    -0.846    -10.00     -5.00    0
  133     2.904     119.857651      -0.222630      16.667900      5.00      5.00   359.338    53.654    -2.783     -5.00     -5.00    0
  134     2.817     119.856087      -0.177430      16.667900      5.00      5.00   359.173    52.766    -4.197      0.00     -5.00    0
  135     2.604     119.854523      -0.132240      16.667900      5.00      5.00   358.619    52.166    -5.830      5.00     -5.00    0
  136     2.276     119.852951      -0.087050      16.667900      5.00      5.00   357.210    51.868    -7.900     10.00     -5.00    0
  137     1.877     119.851379      -0.041860      16.667900      5.00      5.00   354.202    50.371   -10.981     15.00     -5.00    0
  138     1.424     119.849808       0.003330      16.667900      5.00      5.00   349.651    47.971   -15.717     20.00     -5.00    0
  139     1.084     119.848244       0.048520      16.667900      5.00      5.00   128.475    63.088   -73.652     25.00     -5.00    1
  140     1.033     119.846672       0.093710      16.667900      5.00      5.00   131.008    62.826   -51.072     30.00     -5.00    1
  141     1.031     119.845100       0.138900      16.667900      5.00      5.00   126.019    58.698   -41.401     35.00     -5.00    1
  142     0.964     119.843529       0.184090      16.667900      5.00      5.00   123.229    55.413   -36.175     40.00     -5.00    1
  143     0.651     119.841957       0.229280      16.667900      5.00      5.00   125.892    55.301   -33.763     45.00     -5.00    1
  144     0.242     119.840393       0.274470      16.667900      5.00      5.00   134.305    64.320   -24.203     50.00     -5.00    1
  145     0.318     119.897957      -1.850060      12.000000      5.00      5.00   173.869    86.778    25.475   -185.00      0.00    0
  146     0.607     119.896393      -1.804870      12.000000      5.00      5.00   176.537    85.499    27.082   -180.00      0.00    0
  147     0.839     119.894829      -1.759680      12.000000      5.00      5.00   180.215    84.384    29.200   -175.00      0.00    0
  148     1.032     119.893257      -1.714490      12.000000      5.00      5.00   183.884    83.320    31.235   -170.00      0.00    0
  149     1.148     119.891693      -1.669300      12.000000      5.00      5.00   187.228    81.369    29.645   -165.00      0.00    0
