   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
  127     1.643     119.873047      -0.571770      16.667900      5.00      5.00   358.000    69.000    32.386    -35.00     -5.00    0
  128     1.973     119.871483      -0.526580      16.667900      5.00      5.00   358.000    69.000    32.850    -30.00     -5.00    0
  129     2.600     119.869919      -0.481390      16.667900      5.00      5.00   358.000    69.000    32.609    -25.00     -5.00    0
  130     2.502     119.868347      -0.436200      16.667900      5.00      5.00   358.000    69.000    34.767    -20.00     -5.00    0
  131     2.323     119.866791      -0.391010      16.667900      5.00      5.00   358.000    69.000    37.791    -15.00     -5.00    0
  132     2.285     119.865219      -0.345820      16.667900      5.00      5.00   358.000    69.000    34.489    -10.00     -5.00    0
  133     2.143     119.863647      -0.300630      16.667900      5.00      5.00   358.000    69.000    24.187     -5.00     -5.00    0
  134     2.865     119.862091      -0.255430      16.667900      5.00      5.00   358.000    69.000    -6.730      0.00     -5.00    0
  135     4.093     119.860519      -0.210240      16.667900      5.00      5.00   358.000    69.000   -24.920      5.00     -5.00    0
  136     4.660     119.858948      -0.165050      16.667900      5.00      5.00   358.000    69.000   -34.246     10.00     -5.00    0
  137     4.901     119.857384      -0.119860      16.667900      5.00      5.00   358.000    69.000   -39.750     15.00     -5.00    0
  138     4.544     119.855812      -0.074670      16.667900      5.00      5.00   358.000    69.000   -51.623     20.00     -5.00    0
  139     3.866     119.854240      -0.029480      16.667900      5.00      5.00   358.000    69.000   -62.414     25.00     -5.00    0
  140     3.266     119.852669       0.015710      16.667900      5.00      5.00   358.000    69.000   -53.077     30.00     -5.00    0
  141     2.547     119.851097       0.060900      16.667900      5.00      5.00   358.000    69.000   -34.386     35.00     -5.00    0
  142     2.534     119.849533       0.106090      16.667900      5.00      5.00   358.000    69.000   -25.406     40.00     -5.00    0
  143     1.729     119.847961       0.151280      16.667900      5.00      5.00   358.000    69.000   -21.848     45.00     -5.00    0
  144     1.496     119.846390       0.196470      16.667900      5.00      5.00   358.000    69.000   -44.691     50.00     -5.00    0
  145     0.194     119.903961      -1.928060      12.000000      5.00      5.00   358.000    69.000   169.751   -185.00      0.00    0
  146     0.738     119.902397      -1.882870      12.000000      5.00      5.00   358.000    69.000  -138.094   -180.00      0.00    0
  147     1.146     119.900833      -1.837680      12.000000      5.00      5.00   358.000    69.000  -124.874   -175.00      0.00    0
  148     0.913     119.899261      -1.792490      12.000000      5.00      5.00   358.000    69.000   -98.334   -170.00      0.00    0
  149     0.981     119.897690      -1.747300      12.000000      5.00      5.00   358.000    69.000   -16.627   -165.00      0.00    0
  150     1.939     119.896133      -1.702110      12.000000      5.00      5.00   358.000    69.000    14.926   -160.00      0.00    0
  151     2.533     119.894562      -1.656920      12.000000      5.00      5.00   358.000    69.000    22.936   -155.00      0.00    0
  152     2.594     119.892990      -1.611730      12.000000      5.00      5.00   358.000    69.000    15.437   -150.00      0.00    0
  153     2.251     119.891418      -1.566530      12.000000      5.00      5.00   358.000    69.000     4.260   -145.00      0.00    0
  154     1.661     119.889862      -1.521340      12.000000      5.00      5.00   358.000    69.000     6.435   -140.00      0.00    0
  155     1.109     119.888290      -1.476150      12.000000      5.00      5.00   358.000    69.000    12.380   -135.00      0.00    0
  156     0.611     119.886719      -1.430960      12.000000      5.00      5.00   358.000    69.000    24.966   -130.00      0.00    0
  157     0.796     119.885162      -1.385770      12.000000      5.00      5.00   358.000    69.000    92.881   -125.00      0.00    0
  158     1.803     119.883591      -1.340580      12.000000      5.00      5.00   358.000    69.000    96.962   -120.00      0.00    0
  159     2.682     119.882019      -1.295390      12.000000      5.00      5.00   358.000    69.000    89.541   -115.00      0.00    0
  160     2.373     119.880463      -1.250200      12.000000      5.00      5.00   358.000    69.000    79.782   -110.00      0.00    0
  161     1.225     119.878891      -1.205010      12.000000      5.00      5.00   358.000    69.000    82.308   -105.00      0.00    0
  162     0.207     119.877319      -1.159820      12.000000      5.00      5.00   358.000    69.000   -61.776   -100.00      0.00    0
  163     1.327     119.875763      -1.114630      12.000000      5.00      5.00   358.000    69.000   -76.890    -95.00      0.00    0
  164     2.062     119.874191      -1.069440      12.000000      5.00      5.00   358.000    69.000   -62.714    -90.00      0.00    0
  165     2.283     119.872620      -1.024250      12.000000      5.00      5.00   358.000    69.000   -39.225    -85.00      0.00    0
  166     2.795     119.871063      -0.979050      12.000000      5.00      5.00   358.000    69.000   -15.316    -80.00      0.00    0
  167     3.828     119.869492      -0.933860      12.000000      5.00      5.00   358.000    69.000   -11.216    -75.00      0.00    0
  168     4.498     119.867928      -0.888670      12.000000      5.00      5.00   358.000    69.000   -11.359    -70.00      0.00    0
  169     4.646     119.866364      -0.843480      12.000000      5.00      5.00   358.000    69.000   -11.475    -65.00      0.00    0
  170     4.273     119.864792      -0.798290      12.000000      5.00      5.00   358.000    69.000    -4.159    -60.00      0.00    0
  171     3.643     119.863228      -0.753100      12.000000      5.00      5.00   358.000    69.000    10.922    -55.00      0.00    0
  172     2.954     119.861656      -0.707910      12.000000      5.00      5.00   358.000    69.000    23.444    -50.00      0.00    0
  173     2.378     119.860092      -0.662720      12.000000      5.00      5.00   358.000    69.000    17.947    -45.00      0.00    0
  174     1.483     119.858528      -0.617530      12.000000      5.00      5.00   358.000    69.000    15.425    -40.00      0.00    0
  175     0.895     119.856956      -0.572340      12.000000      5.00      5.00   358.000    69.000     5.369    -35.00      0.00    0
  176     1.023     119.855400      -0.527150      12.000000      5.00      5.00   358.000    69.000   -21.003    -30.00      0.00    0
  177     1.474     119.853828      -0.481950      12.000000      5.00      5.00   358.000    69.000    -9.127    -25.00      0.00    0
  178     1.939     119.852257      -0.436760      12.000000      5.00      5.00   358.000    69.000   -20.515    -20.00      0.00    0
  179     2.181     119.850700      -0.391570      12.000000      5.00      5.00   358.000    69.000    -6.991    -15.00      0.00    0
  180     2.475     119.849129      -0.346380      12.000000      5.00      5.00   358.000    69.000    -4.155    -10.00      0.00    0
  181     3.405     119.847572      -0.301190      12.000000      5.00      5.00   358.000    69.000   -13.359     -5.00      0.00    0
  182     4.907     119.846001      -0.256000      12.000000      5.00      5.00   358.000    69.000   -22.869      0.00      0.00    0
  183     6.292     119.844429      -0.210810      12.000000      5.00      5.00   358.000    69.000   -30.546      5.00      0.00    0
  184     6.329     119.842873      -0.165620      12.000000      5.00      5.00   358.000    69.000   -34.906     10.00      0.00    0
  185     5.786     119.841301      -0.120430      12.000000      5.00      5.00   358.000    69.000   -40.990     15.00      0.00    0
  186     5.342     119.839737      -0.075240      12.000000      5.00      5.00   358.000    69.000   -54.736     20.00      0.00    0
  187     4.288     119.838173      -0.030050      12.000000      5.00      5.00   358.000    69.000   -62.197     25.00      0.00    0
  188     3.128     119.836601       0.015150      12.000000      5.00      5.00   358.000    69.000   -59.637     30.00      0.00    0
  189     2.241     119.835037       0.060340      12.000000      5.00      5.00   358.000    69.000   -43.697     35.00      0.00    0
  190     1.543     119.833473       0.105530      12.000000      5.00      5.00   358.000    69.000   -15.243     40.00      0.00    0
  191     0.739     119.831909       0.150720      12.000000      5.00      5.00   358.000    69.000     6.179     45.00      0.00    0
